Review,Rating,Words,Palform
The app choose the longest ride. If I choose a fast food restaurant it automatically chooses the one fartherst away. If choose a retail store its first pick is the one thats furthest away. I have to manually put in the location of store nearest me. It wont bring it up in the list of stores below your pickup and drop off points. It seems like it does that so it can charge me the most money it can possibly charge me. Thats low even for uber. BE CAREFUL AND MAKE YOU CHOOSE RIGHT LOCATION FIRST!!,TRUE,96,UBER
"Usually this app has worked well enough, but has become increasingly buggy and unusable to get rides. Constant errors when attempting to book trips and even sent my driver to the wrong address (where I was left on the sidewalk to call another ride). Customer support is non existent. If you call they immediately hang up on you and even the contact email on the Google store is not monitored and just for show.",TRUE,74,PATHAO
"Very disappointed with driver who has been assigned for the ride, I've specified that you can cancel the ride if the situation is demanding but he was like we can tell the reason and show the ID proof and when the police has asked the purpose of visit,he has just manipulated everything saying that he didnt understand English...if doesnt know it then he should not mention in the profile that he knows English....this was very unprofessional of him...I'm just uninstalling the app....this sucks😡",TRUE,83,SHOHOZ
"Haven't been able to get a driver for months now. not even a few months ago, when there was actually drivers, they tried to price my 10minute ride, $90. Uber is no longer reliable. I just LOVE waiting over half an hour for a ride, for the drivers to cancel once they get to my home and see where my destination is. There should be an inconvenience fee paid to customers (when I wait for a ride just for it to be canceled, can you explain to my boss or pay for the hours I missed?) Just wondering.",Partially FALSE,98,SHOHOZ
"When I started using the Uber it was really enjoyable but after they changed some of the pick-up specifics it is actually awful to use. The driver can accept the order when he is completing a trip a hundred miles away and the wait time is around 15-20 minutes. The thing is that when you order a cab you expect it to arrive in 5-10 minutes, cause you are late somewhere or have a bus. I also have a problem of my payment being transfer not after the ride but before it and its really uncomfortable.",TRUE,96,PATHAO
"Strongly recommend not relying on the regular so-called ""discounts"" that uber will email you with. There have been two occasions now when I have only used the eats section of the app because I have been promised a discount, applied the discount, only for the app to then charge me the full price for the meal. Customer service are swift to respond, but refuse to help due to 'being bound by policy limitations'. Complete scam",FALSE,75,UBER
"Since my car was in the shop, I needed a ride to work. I checked the night before and requested an Uber to pick me up between 7:50-8am which said the price would be a little less than $10. At 7:30am, the app started looking for a driver. At 7:40am, I was told there was no drivers. I was forced to make a request again, but now the price tripled to $30. I had no choice but to take it because it was too late to use the trolley, which is $8 for a day pass. I will never use Uber again.",Partially FALSE,105,SHOHOZ
"This review isn't a reflection of the app, just the piss poor customer service. My credit card was used for an Uber trip recently, I've never used this credit card with Uber and haven't used Uber in about six months. I tried calling and got nowhere. Unless it's a safety issue or you have a paid subscription to call customer service, you can't speak to anyone, you'll just have automated messages refer you to online help then the call ends.",Partially FALSE,80,OBHAI
"Suddenly unreliable and expensive. Used to be great, cheap, fast and could always get a ride. Now fares often have a ""surcharge"" that you don't see until AFTER the journey has been completed and you are suddenly charged almost DOUBLE. Now ridiculously expensive. App also no longer displays accurate driver arrival time. Have been stood up because the app still displays driver as some time away. Prebooked for an important hospital appointment and driver cancelled at last minute, still charged!",TRUE,80,UBER
"Been having issues for several weeks now dealing with getting a ride. Just today it took 45 minutes to get a ride, and there were cars out and close to me. I should not have to clear the cache 3 times, data 2 twice, and restart my phone just for the request to actually get to the driver. I just want to get home after a long day at work, or actually get to work on time. But I have no choice but to use this app.",FALSE,87,UBER
Didn't use uber for a couple years and since have gotten a new debit card. Can not access my account due to not having old card info and can not get any support when needed as a customer. Will probably end up using lyft due to being locked out of this app. Now months later still no response from uber to get into my account. No way to call anyone for support or anything. This app / service is garbage I guess I'll continue staying away from them.,TRUE,87,OBHAI
"I stopped using Uber because I had to wait for long time & to top that it, they use to cancel. Last time I had scheduled a little in & out medical procedure, I had to be at 5:30am in the hospital needles to say I requested 3 rides, they all cancelled, last minute. I arrived 15 min late & my Dr almost cancel everything. When I had to get back to my house, I had no option than request another Uber, jezzzz if I didn't die with the anesthesia, I was sure my life was going to end there. Driver rude!",Partially FALSE,103,OBHAI
"The app lied about how long it would be before the driver arrived. As soon as I booked the ride the wait time became longer. When I tried to cancel the ride, because I found a Lyft that would arrive sooner, I was threatened with a $7.75 fee for ""wasting the driver's time""... even though I had only booked the ride moments before and, in fact, it was MY TIME that was being wasted due to Uber's incorrect time description. Where's MY $$ for inconveniencing me and lying about the driver distance??",FALSE,91,OBHAI
"Aweful Experience!!!. The rep. told me that with any issues your correspondence is allowed only via Email. Representatives hang up and don't solve problems over the phone as good old days!!! I was charges wait time, tax, and fair rate during the time of my ""free week subscription"" Also the rep. refused to cancel my subscription over the phone.",Partially FALSE,59,OBHAI
"The service is great, drivers are mostly good to fantastic, and fares are affordable to the point absurdity. It's too bad the app suffers from consistent issues. Constantly forgetting saved addresses, not loading menus or fares, barely functioning without connecting to GPS or wifi despite full bars. For as helpful as the service is the app is significantly more frustrating. Update: now things are getting out of hand, super long wait times? Seriously?",TRUE,73,UBER
"The app is good, however theres one problem that needs to be fixed, a few times when I scheduled a ride 2+ hours in advance, the app will show a driver on the way for a 6pm trip, when that's not the time of the scheduled ride, and after getting in the drivers car, the app won't start the ride until a few minutes have passed",TRUE,66,UBER
"The drivers in Uber cancel the rides on their own and give reason as the traveller has cancelled leading to the traveller paying cancellation charges for the next trip for no reason. And this did not happen just once, it has happened for many of my rides that I had booked. Uber should give the similar option to traveller as well where they can clearly mention that the uber ride was cancelled by the Uber driver.",TRUE,76,UBER
"When attempting to update, PlayStore crashes; the note from Google says: ""Not enough sp..."" I'm guessing that sp is a short form for ""space""? The note can't be expanded (due to new Playstore update). Over two hundred gigabytes isn't enough? Sure it is. But it won't update. These are Google problems but obviously they don't have the resources nor the know how to fix them. Fortunately, apps can often be updated outside of Google PlayStore, but they shouldn't have to be.",TRUE,81,PATHAO
Driver was 30 minutes late to a ride scheduled a day in advanced. Missed my flight because of this. Uber refused to give me a refund for the ride there and back. Uber does not care about you or their drivers. Uber customer support will only respond to you with corporate replies and is willing to lose customers that have been with them for years for small amounts of money. This company is trash and I don't see it sticking around much longer.,FALSE,83,OBHAI
The service used to be great now is awful and I'm very disappointed how they cancel every single time and you have to wait about 20 minutes. I thought it was a really great company but honestly it has gone down the drain is completely unacceptable. Especially on my way to work I wait 15 minutes and the drivers are within 2-3 minutes to my pick up spot they cancel on you and I have to wait again for an additional 15 to 20 minutes plus Doraemon time is completely completely disappointed.,TRUE,92,PATHAO
"I have a Uber Gift Card of $70 and I have been trying to use it for the past month with no success. I contacted Uber about it as I was trying to order groceries online. I was sick, could not go out to get food for myself. I tried the gift card and every payment method (card) I had but no success. I sent a message to Uber Help begging for help so that I can order something to eat. They responded a week later thanking me for my patience. That was a month ago. Never heard back from Uber since",TRUE,102,OBHAI
"HORRIBLE. USE LYFT. Ive never used Uber but did download& set up app long ago. Upon wanting 2use, realized I forgot my password. I have also changed my phone#. Attempted 2regain access through app as well as desktop. It is impossible to contact support or even faq without being logged in. I even tried to call emergency response line & after lengthy recording, disconnected. It wants new acct with different email but i Want 2use my main email. Tried 4ovr an hour.. FOUND EASY FIX: INSTALLED LYFT.",FALSE,87,SHOHOZ
"Odered a meal with the app. Then a rider picked it up and went offline. While a refund is the typical thing to offer, a concerned company's response would have been to replace the order and send it over once they found out their employee had made off with it. Terrible support as well.",TRUE,54,UBER
Awful! I wasn't sure where the pickup location was exactly and the driver probably couldn't speak good English and he NEVER answered my message on how to get there and then I hot charged almost $5 for a cancelation fee. The terms and conditions state that's for the driver getting to location and rider not being there but it also says he was supposed to give me 5 min. He probably got another client immediately upon arriving for me and ancelled because I wasn't there yet. It was the airport!,Partially FALSE,90,UBER
"Fewer Drivers. More Expensive. Rideshares have gone down the toilet. It takes sometimes almost two hours to find a decent ride, and that's if I'm not being charged $30-$35 just to ride five miles to get to work. It's ridiculous! I once caught a cab to work; it only took 10 minutes and was 50% LESS than Uber. Looks like the taxi business is about to make a comeback because if Uber continues at this rate they're gonna lose out on even more customers like me!",FALSE,86,SHOHOZ
"Please remove the foods option of you no longer support it in the app. This portion of the app doesn't have notifications and no one notified me when the food arrived, so I ended up recordering the meal thinking something went wrong with the initial order (no order confirmation email either). Ridiculous",TRUE,52,SHOHOZ
"Good if the app works, but god help you if it ever breaks. Single handedly the worst tech support (or indeed customer service) experience I have ever had in my life. Repeatedly ignored, given irrelevant advice, dealing with multiple people all with different ideas and none of whom seem to be talking to each other, who then disappear only to never message again. No overseight either, call centre employees have refused to log complaints, told me there's nothing I can do and no one I can contact.",Partially FALSE,87,PATHAO
I'm starting to hate this app because it's taking me almost an hour to look for one ride. And when theirs no cars available they have to increase the price just because it busy this app is such a money hungry app I paid $40 to get to my destination that was 10 minutes away. I can't trust this app anymore.,Partially FALSE,61,PATHAO
"my first time.took 30 minutes to pickup in town, driver had radio up loud, didn't care. could barely hear my friend requested to add stop said don't know how, so used app but said unable to add stop. driver dropped us off 100 yards from correct address with GPS showing need drive further and on wrong side of the 4 lane road. bad experienc",FALSE,64,OBHAI
If I make a booking I expect it to turn up when I booked it not 15 minutes early and then get a phone call from one of your understandably frustrated drivers. I cut a meeting short so I could get downstairs to him only to find he had left and my ride was cancelled. This meant I waited 15 minutes for the next ride and theres no other reason than your dispatch wrongfully putting the fare on the system too early. I was charged extra because of a booked time that ended being botched. NFG John,TRUE,97,SHOHOZ
"None is easier to use, but to mention a little glitch, I've lost money and time from wrong location on the app aside that I'm home with the app. To also be the go-to taxi during the hardest months of our work lives with special Medic discount is in no small way appreciated by us all who benefitted. I was never disappointed from the first time I used UBER_ ride or foods to now. Love you to the moon and back. Thanks on behalf of all NHS staff.",Partially FALSE,88,SHOHOZ
"I usually just use for food delivery. The app crashes every single time I leave it for anything (not even completely closing it). So I either have to leave it open for the entire duration of the expected delivery or have to repeatedly completely close it then reopen it to see delivery status.Also, you can no longer decline having your delivery shared (which supposedly decreases the price), but now consistently get luke warm or cold food, because a 20 minute delivery turned into an hour.",Partially FALSE,85,UBER
No the app works half way. One you can not book a right now ride only 30 mins out and beyond. Secondly your old trip is still up as if its a trip for now. It wont go away and only choose is cancel which may chagre you even after you have gone. Update fix your stupid app it's not working properly but you're taking money but not fixing your app,TRUE,71,OBHAI
The drivers are accepting the rides but not moving an inch to reach the destination. They are waiting for us to cancel the ride and are wasting are time. This is a stupid strategy by most of the drivers by driving the opposite direction and disconnecting calls. FIX IT.,FALSE,49,PATHAO
"Frustrating. Wow. So the app will connect you to a driver and it says ""6 minutes until arrival"" well 40 minutes later I'd say otherwise. Don't mislead your customers. I'd rather it say, ""this driver has two more stops before you"" instead. This is incredibly frustrating and a terrible way to run a business",FALSE,54,UBER
"Uber sucks. I needed to get my friend in the hospital and they couldn't book me a ride. It was very important I get there, but because of Uber, my friend had to be alone. So I don't recommend this app. Update: the app remains unreliable, especially for long distance rides.",Partially FALSE,51,UBER
I use this app sometimes when i don't have a ride home and for the most part it works fine but there have been a couple of times when it is cold and a little bit of snow that that drivers have cancled on my when i set up in advance and i have had to wait for at least 20 minutes for a new driver. Please fix this,TRUE,69,SHOHOZ
"The app was doing great, but after the last update I'm not able to add payment mode. Earlier it used to take less time to book a cab but now it is taking 10-15 mins to book a cab. Uber please look to this problem otherwise the app is doing great. Thank you",TRUE,53,PATHAO
"Using uber is a dreadful experience to say the least. If you encounter any issues you may pick from a list of common problems, which is sent to uber for review. Problems that are not listed you're SOL. No option that allows for you to describe your issue in your own words. How's this acceptible uber? App lacks information critical for new users and is very unintuitive. Information is sparse and feels like an afterthought",FALSE,75,OBHAI
Use to love uber. Now I've had several times where I waited 25 minutes for an uber just for the driver to get 5 minutes away and then change drivers and had to wait another 25 minutes. It's getting to the point where calling a regular cab service is more reliable and faster.,TRUE,53,OBHAI
"Most of the Drivers are extremely cooperative. But whenever I book a ride I wait for 10-15 mins and then the ride's cancelled, I go for another one sometimes it is also cancelled, like man we're not a fool, if you have to cancel it, cancel it as soon as you get it. Sometimes it asks for the cancellation fees for no reason.When I'm riding then the experience isn't bad but while booking it's pathetic. Plzz workout on this",TRUE,79,UBER
Worst scammers... shows a different rate while booking.. charges a very high amount different than shown while booking the ride. No customer support. Email support and message support is totally useless... Ended up paying more than Rs 1000/- extra than what was shown while booking rides. Will never install again. Will prefer Ola.,FALSE,53,UBER
"drivers will make you wait until they get to your destination, drive in front of you, then cancel the ride and drive off. Had this happen to me when i had a flight to catch, even though i was 2 hours early, ended up missing my flight having to pay another 300 for another ticket, while uber refused to reimburse me or punish the drivers.",Partially FALSE,65,OBHAI
"Now there is a $6 booking fee to schedule a ride in advance...My booking fee has been $0.50. The price to schedule a ride in advance is over half the ride cost for the current rate. There are drivers available, but they don't move until the prices are tripled. Had to use lyft to get to work even though that app is just as unreliable.",FALSE,65,SHOHOZ
They need to get more drivers asap. Waited 20 minutes in a busy metropolitan area to get a ride and now I'm waiting 20 more minutes to get a ride only 6 miles away. At this point it's about the same as an actual taxi cab with the cost and long waiting eery single trip.,FALSE,55,UBER
"Uber is great. So easy to use and so good specially when you are travelling abroad. You dont have to worry abt anything. Just open the app and get your ride- no hustle! Just, i wish when making a future ride order it would get your driver booked when its been ordered instead of waiting 10 min before the actual ride.",FALSE,61,OBHAI
"Terrible service, first it has been almost a year and there is an outstanding balance I don't know where it came from, I was charged unfairly and nobody contacted me back when i reported it, second the uber bus section is complicated and not user friendly, you don't understand which route goes where unlike Swvl which is a lot easier to use, the app in total is trash",Partially FALSE,68,SHOHOZ
What was once a company about convenience is now a company where the drivers are looking to game the algorithm. I can't even remember the amount of times I have had to wait anywhere from 30 to 40 minutes in Manhattan for a driver to show up. I've had drivers cancel on a trip when they were less than 100 feet away. Drivers now take 2 phones with them and wait for surge pricing to occur and then cancel the normal rides even if they have accepted your fare. Ill just take a taxi instead,TRUE,95,OBHAI
Uber ripped me off and they give no way to even complain about it. I booked a trip for 30 dollars. They cancelled it a minute before premium fees started and then charged me double the price for the same trip. There is no way in the app to tell this happened and it's all automated. I didn't cancel the first trip. I deserve to be charged the original amount which they can easily verify in the app.,Partially FALSE,78,OBHAI
It sucks. It charges extra every time for no rhyme and reason. If you submit the query about it you never get an answer. Two months ago met with an accident I shared on twitter I got call and nothing happened afterwards. I am seriously considering uninstalling.,FALSE,47,SHOHOZ
"2 fro 5 because of new ""great"" feature to allow drivers to take second order while completing previous one. In result, drivers are taking a new order, while they need 15-20 minutes to complete previous one. And you even can't cancel such magnificent order, because ""driver is on its way"". Way to what? Where? He/she are not coming to me, they are completing their first order.",TRUE,67,PATHAO
A very bad experience with uber delivery. The tracking on the map was inaccurate causing delay for both driver and recipients. The in call feature did not function properly and changes to the contact number for the particular journey did not reflect on the app. Online payment required authentication which again showed notifications but did not reflect in the app. Please look into these errors.,FALSE,65,OBHAI
"""Cancellation fee"" Not well thought through. My driver suddenly stopped on the map for some time. I assumed it was a red traffic light. 10 minutes go past and he's still around the corner. I then realise his car is conveniantly parked outside a takeaway. I ring my driver to ask where he is, and i can hear the inside of a restaurant. He says ""1 minute"" and hangs up. I try to cancel but I'M THE ONE THAT HAS TO PAY A FEE if do? 8 MINUTES LATER (so 18 mins waiting in total) HE cancels the trip.",TRUE,99,PATHAO
"lately keeps charging me for""arrears"", which is impossible that I have since I always pay fully in cash, this were urgent trips so there was no way to refuse paying the ""arrear"", It happened 3 times and I ended up paying over 200 mxn, support only said""you owed that money because you didn't pay in full"" which I always do! But they did not care at all",Partially FALSE,67,PATHAO
"There's always some problem with the food delivery, today was the last straw. Expensive, late and incomplete. I ordered a calzone from a Pizza Hut two blocks away. It took over an hour to get here. The app changed drivers. It got here incomplete, no utensils, no napkins, NO DRINK and no receipt to claim it.",TRUE,56,OBHAI
